ID_SALES,ID_FINANCE,ID_CRM,Split,Retained,CRM_Segment,CampaignWindow_Days,Cancel_Ratio,Cancelled_Pax,CareIntensity_Score,Days,DepartureMonth,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,Discount_Ratio,EZ_Pay_Take_Up_Rate,EarlyComm_LeadDays,EarlyPlanner_Flag,FPP,FPP_to_PAX,FPP_to_School_enrollment,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,From_Grade,Grade_Range,GroupGradeType,GroupGradeTypeHigh,GroupGradeTypeLow,Group_Penetration,Group_State,HadFirstMeeting_Flag,Income_Level,Income_Ordinal,Insurance_LossRate,Insurance_Penetration,LateComm_LeadDays,LeadTime_Days,Logistics_Load,MDR_High_Grade,MDR_Low_Grade,MajorProgramCode,MeetingsPerMonth,NonFPP_Share,Num_of_Non_FPP_PAX,NumberOfMeetingswithParents,Parent_Meeting_Flag,Poverty_Code,Poverty_Severity,PriceSensitivity_Idx,Program_Code,Region,Revenue_per_FPP,SPR_Group_Revenue,SPR_New_Existing,SPR_Product_Type,SchoolGradeType,SchoolGradeTypeHigh,SchoolGradeTypeLow,SchoolSizeIndicator,School_Sponsor,School_Type,Special_Pay,To_Grade,Total_Discount_Pax,Total_Pax,Total_School_Enrollment,Travel_Type,Tuition,Tuition_per_Day,Tuition_per_FPP,Tuition_vs_PovertyMed
CC1387A,1389,01000I,model,1.0,10.0,31.0,0.06896551724137931,2,1.5,24,January,371.0,241.0,0.034482758620689655,0.017855577091883,-40.0,1,26,0.967035782753087,0.126429354314411,1,1,0.020913435758935,10.0,0.0,K->High,High,K,0.06451612903225806,CA,1,I,0.0,0.5,0.038461538461538464,-9.0,371.0,696,8.0,PK,C,2.5,0.06896551724137931,2,2,1,0,0.0,0.8881431767337807,CC,Other,17.192307692307693,447,0,East Coast,Middle->Middle,Middle,Middle,S-M,1,Catholic,0,10.0,1,29,403,A,397,16.541666666666668,15.26923076923077,0.23229959040374487
CC139A,3090,01001O,model,0.0,9.0,1.0,0.09090909090909091,2,1.0,18,January,150.0,154.0,0.13636363636363635,0.0,11.0,1,21,0.993127324453424,0.173405156631824,0,0,0.0,5.0,1.0,PK->Middle,Middle,PK,0.028688524590163935,CA,1,O,2.0,0.0,0.0,10.0,410.0,396,12.0,K,C,1.6666666666666667,0.045454545454545456,1,1,1,0,0.0,0.9723661485319517,CC,Other,27.571428571428573,579,0,East Coast,Middle->Middle,Middle,Middle,M-L,0,CHD,0,6.0,3,22,732,A,563,31.27777777777778,26.80952380952381,0.32943241661790523
CC1600A,3639,01002G,model,1.0,5.0,,0.0,0,0.8,13,January,259.0,263.0,0.14285714285714285,0.0,,0,7,0.973945817054653,0.108985714542943,0,0,0.0,7.0,0.0,K->Middle,Middle,K,0.013435700575815739,OR,1,G,2.0,0.0,0.0,,226.0,91,8.0,K,C,2.3076923076923075,0.14285714285714285,1,1,1,0,0.0,1.166351606805293,CC,Other,75.57142857142857,529,1,East Coast,Middle->Middle,Middle,Middle,S-M,0,Catholic,0,7.0,1,7,521,A,617,47.46153846153846,88.14285714285714,0.361029842012873
CC1701A,4249,01011Q,model,1.0,9.0,192.0,0.2,5,1.5,24,January,315.0,191.0,0.12,0.019285349239465,-1.0,1,26,0.981972198095321,0.142807017036153,1,1,0.019031830062446,8.0,0.0,PK->Middle,Middle,PK,0.059496567505720827,CA,1,Q,2.0,0.5,0.038461538461538464,-193.0,456.0,600,12.0,K,C,2.5,0.08,2,2,1,0,0.0,1.1706036745406825,CC,Other,14.653846153846153,381,0,East Coast,Middle->High,High,Middle,S-M,1,CHD,0,8.0,3,25,437,A,446,18.583333333333332,17.153846153846153,0.2609713282621416
CC1773A,CP1021,01013I,model,1.0,1.0,,0.0,0,1.3,13,January,418.0,295.0,0.14285714285714285,0.035036284101661,,0,7,0.963425740042094,0.108985714542943,15,11,0.597236981275838,7.0,0.0,K->Middle,Middle,K,0.030973451327433628,OR,1,I,0.0,0.4230769230769231,2.142857142857143,,226.0,91,12.0,PK,C,4.615384615384615,0.2857142857142857,2,2,1,0,0.0,0.9765100671140939,CC,Dallas,85.14285714285714,596,1,East Coast,Middle->High,High,Middle,S,1,CHD,CP,7.0,1,7,226,A,582,44.76923076923077,83.14285714285714,0.3405500292568754
CC1830A,CP1055,010140,model,0.0,7.0,258.0,0.18840579710144928,13,1.5,30,January,387.0,268.0,0.10144927536231885,0.022029853980109,-23.0,1,50,0.90230273314182,0.246744805358034,13,0,0.120346712276273,7.0,1.0,Middle->Middle,Middle,Middle,0.0,CA,1,0,2.0,0.0,0.26,-281.0,506.0,2070,8.0,0,C,2.0,0.15942028985507245,11,2,1,0,0.0,0.96,CC,Pacific Northwest,1.5,75,1,East Coast,Middle->High,High,Middle,MISSING,0,CHD,CP,8.0,7,69,0,A,72,2.4,1.44,0.042129900526623756
CC1836A,CP1075,01018O,model,1.0,5.0,165.0,0.014084507042253521,1,1.0,33,January,224.0,229.0,0.07042253521126761,0.181884964808257,-11.0,1,53,0.904456096138396,0.071500079041017,48,15,0.699719033721694,9.0,0.0,PK->Middle,Middle,PK,0.08818635607321132,CA,1,O,2.0,0.23809523809523808,0.9056603773584906,-176.0,395.0,2343,8.0,K,C,0.9090909090909091,0.08450704225352113,6,1,1,0,0.0,0.9963503649635036,CC,Northern California,31.0188679245283,1644,0,East Coast,Middle->Middle,Middle,Middle,M-L,0,Catholic,CP,9.0,5,71,601,A,1638,49.63636363636363,30.90566037735849,0.9584552369806905
CC242A,CP1090,01026Q,model,1.0,5.0,182.0,0.01639344262295082,1,0.2,28,January,250.0,232.0,0.08196721311475409,0.302073224026844,-9.0,1,55,0.960852253856289,0.067303566941564,37,3,0.533460183997706,7.0,0.0,PK->Middle,Middle,PK,0.15492957746478872,CA,0,Q,2.0,0.075,0.6727272727272727,-191.0,389.0,1708,8.0,PK,C,0.0,0.03278688524590164,2,0,0,0,0.0,1.0318302387267904,CC,Southern California,6.8545454545454545,377,1,East Coast,Middle->Middle,Middle,Middle,S-M,1,Catholic,CP,7.0,5,61,355,A,389,13.892857142857142,7.072727272727272,0.22761849034523113
CC2531A,CP1240,01028L,model,0.0,11.0,3.0,0.08333333333333333,2,0.2,11,January,250.0,232.0,0.125,0.179159579410445,5.0,1,17,0.700163346211614,0.165712332006676,3,5,0.618154951516131,9.0,1.0,PK->Middle,Middle,PK,0.029876977152899824,CA,0,L,1.0,0.625,0.17647058823529413,8.0,411.0,264,12.0,7,C,0.0,0.08333333333333333,2,0,0,0,0.0,0.8555194805194806,CC,Other,108.70588235294117,1848,1,East Coast,Middle->Middle,Middle,Middle,S-M,0,Private non-Christian,CP,10.0,3,24,569,A,1581,143.72727272727272,93.0,0.92510239906378
CC2637A,CP1329,010310,model,1.0,7.0,124.0,0.15384615384615385,4,1.0,24,January,217.0,222.0,0.07692307692307693,0.29234296690039,-49.0,1,20,0.924351755865582,0.113636130096558,17,13,0.473516572943092,10.0,0.0,K->Middle,Middle,K,0.0,CA,1,0,2.0,0.43333333333333335,0.85,-173.0,447.0,624,8.0,0,C,1.25,0.11538461538461539,3,1,1,0,0.0,0.9876886417791898,CC,Other,125.9,2518,1,East Coast,Undefined->Undefined,Undefined,Undefined,MISSING,0,CHD,CP,10.0,2,26,0,A,2487,103.625,124.35,1.4552369806904624
